Tag,Year,Kind,First authored,Single authored,PhD publication,Including PhD supervisor,Publisher,Open access,Link,Full reference,Current number of citations,Title
Abad2024VDCcode,2024,Community software,1,1,1,0,Zenodo,1,https://doi.org/10.5281/zenodo.11612296,,0,Code and data for Vector data cubes for features evolving in space and time at AGILE 2024
Abad2024AGILE,2024,Peer-reviewed paper,1,0,1,0,AGILE GIScience Ser.,1,https://doi.org/10.5194/agile-giss-5-16-2024,,0,Vector data cubes for features evolving in space and time
Abad2024EGU,2024,Conference proceedings,1,1,1,0,EGU General Assembly 2024,1,https://doi.org/10.5194/egusphere-egu24-10019,,0,Geomorphic landform monitoring with raster and vector data cubes
Hoelbling2024DataButangbunasi,2023,Community database,0,0,0,0,Zenodo,1,https://zenodo.org/doi/10.5281/zenodo.10635101,,0,Butangbunasi landslide and landslide-dammed lake outlines based on Landsat time series with respect to typhoons
Abad2023Corrigendum,2023,Peer-reviewed paper,1,0,0,0,Science of The Total Environment,1,https://doi.org/10.1016/j.scitotenv.2023.168302,,0,Corrigendum to Detecting landslide-dammed lakes on Sentinel-2 imagery and monitoring their spatio-temporal evolution following the Kaik?ura earthquake in New Zealand [Sci. Total Environ. 820 (2022) 153335]
Abad_Blog05,2023,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2023-10-17-stac-across-languages/,"Abad (2023, October 18). Lore Abad: STAC Across Languages. Retrieved from https://loreabad6.github.io/posts/2023-10-17-stac-across-languages/",0,STAC across Languages
Abad2023IUGG,2023,Conference proceedings,1,0,0,0,IUGG 2023,1,https://doi.org/10.57757/IUGG23-0228,,0,Expert-based and data-driven gully and cliff erosion feature detection in New Zealand
Argentin2023GPC,2023,Peer-reviewed paper,0,0,0,0,Global and Planetary Change,1,https://doi.org/10.1016/j.gloplacha.2023.104190,,0,The scaling of landslide-dammed lakes
Argentin2023EGU,2023,Conference proceedings,0,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-9848,,0,Quantification of the damming and sediment trapping capacity of landslides and their dammed lakes: the example of the Hintersee landslide dam
Hoelbling2023EGU,2023,Conference proceedings,0,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-1670,,0,Semi-automated detection and delineation of earthflows in New Zealand using remote sensing - challenges and opportunities
Abad2023EGU,2023,Conference proceedings,1,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-1468,,0,"Gully and cliff erosion feature detection in the Wairoa catchment in Hawke’s Bay, New Zealand"
Abad_SliDEM,2023,Community software,1,0,0,0,Zenodo,1,https://zenodo.org/doi/10.5281/zenodo.10634421,,0,SliDEM: Assessing the suitability of DEMs derived from Sentinel-1 for landslide volume estimation.
sfnetworks,2023,Community software,0,0,0,0,CRAN,1,https://cran.r-project.org/package=sfnetworks,,12,sfnetworks: Tidy geospatial networks in R
Abad2022a,2022,Conference proceedings,1,0,0,0,EGU General Assembly 2022,1,https://doi.org/10.5194/egusphere-egu22-693,,0,An open-source Python package for DEM generation and landslide volume estimation based on Sentinel-1 imagery
a252d1b5a14048beb6a6639fcb4d0db1,2022,Conference proceedings,0,0,0,0,Disaster Research Days 2022,1,https://www.dcna.at/files/tao/img/veranstaltungen/drd22/2022-11%20Konferenzband_DRD22.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=2022-11+Sondernewsletter+Podcast+%2B+Konferenzband,,0,How applicable are DEMs created from Sentinel-1 for estimating the volume of landslides?
99ebced6d12b492c8a3dcd1a6bda8204,2022,Peer-reviewed paper,0,0,0,0,Anais da Academia Brasileira de Ciências,1,10.1590/0001-3765202220211352,,0,"Landslides associated with recent road constructions in the Río Lucma catchment, eastern Cordillera Blanca, Peru"
ef749b84bdbf4d4b88012aac498fc94e,2022,Peer-reviewed paper,0,0,0,0,Geomorphology,1,10.1016/j.geomorph.2022.108363,,13,Influence of rheology on landslide-dammed lake impoundment and sediment trapping: Back-analysis of the Hintersee landslide dam
ABAD2022103009,2022,Peer-reviewed paper,1,0,0,0,International Journal of Disaster Risk Reduction,1,10.1016/j.ijdrr.2022.103009,,8,"Mass movement susceptibility assessment of alpine infrastructure in the Salzkammergut area, Austria"
Hennig2022,2022,Peer-reviewed paper,0,0,0,0,Environmental Research Letters,1,10.1088/1748-9326/ac8235,,1,Citizen science and geomorphology: the citizenMorph pilot system for observing and reporting data on landforms
Abad2022,2022,Peer-reviewed paper,1,0,1,0,Science of The Total Environment,1,10.1016/j.scitotenv.2022.153335,,12,Detecting landslide-dammed lakes on Sentinel-2 imagery and monitoring their spatio-temporal evolution following the Kaikōura earthquake in New Zealand
Dabiri2022LPS,2022,Conference proceedings,0,0,0,0,Living Planet Symposium,1,https://express.converia.de/frontend/index.php?page_id=22746&additions_conferenceschedule_action=detail&additions_conferenceschedule_controller=paperList&pid=62851&hash=9bac4561ddd8ad6c0a86d71c29e02013bf7b61488b01e3a734da12fc3bb646e4,,0,Assessing the suitability of DEMs derived from Sentinel-1 data for landslide volume estimation
Abad2022c,2022,Peer-reviewed paper,1,0,0,0,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1,10.5194/isprs-archives-XLVIII-4-W1-2022-5-2022,,1,An open-source-based workflow for DEM generation from Sentinel-1 for landslide volume estimation
Holbling2022,2022,Conference proceedings,0,0,0,0,EGU General Assembly 2022,1,https://doi.org/10.5194/egusphere-egu22-1013,,0,Exploring knowledge-based and data-driven approaches to map earthflow and gully erosion features in New Zealand
Albrecht2022,2022,Peer-reviewed paper,0,0,0,0,European Journal of Navigation,0,,,0,Earth observation-based assessment of mass movement impact on alpine infrastructure management
Abad_Blog04,2022,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2023-04-26-betterposter-at-egu-2023/,"Abad (2023, April 26). Lore Abad: #betterposter at EGU 2023. Retrieved from https://loreabad6.github.io/posts/2023-04-26-betterposter-at-egu-2023/",0,#betterposter at EGU 2023
Argentin2021,2021,Conference proceedings,0,0,0,0,EGU General Assembly 2021,1,https://doi.org/10.5194/egusphere-egu21-9862,,0,Size-frequency distribution of landslide-dammed lakes from a simulation approach
Abad2021,2021,Conference proceedings,1,0,0,0,EGU General Assembly 2021,1,https://doi.org/10.5194/egusphere-egu21-11015,,2,"Road Construction and Rainfall as Landslide Triggers in the Rio Lucma Catchment, Eastern Cordillera Blanca, Peru"
Albrecht2021AHORN,2021,Conference proceedings,0,0,0,0,Kurzfassungen der Beiträge zur AHORN 2021,0,,,0,"Der Einfluss von gravitativen Massenbewegungen auf die alpine Infrastruktur, beurteilt mit Fernerkundungsdaten"
Dabiri2021,2021,Peer-reviewed paper,0,0,0,0,GI_Forum,1,10.1553/giscience2021_01_s46,,5,Comparing the Applicability of Sentinel-1 and Sentinel-2 for Mapping the Evolution of Ice-marginal Lakes in Southeast Iceland
Albrecht2021,2021,Conference proceedings,0,0,0,0,EGU General Assembly 2021,1,https://doi.org/10.5194/egusphere-egu21-7718,,0,Qualitative analysis of the impact of mass movements on the alpine hiking infrastructure
Argentin2021a,2021,Peer-reviewed paper,0,0,0,0,Natural Hazards and Earth System Sciences,1,10.5194/nhess-21-1615-2021,,14,Controls on the formation and size of potential landslide dams and dammed lakes in the Austrian Alps
Hennig2021a,2021,Peer-reviewed paper,0,0,0,0,Naturschutz und Landschaftsplanung (NuL),1,10.1399/NuL.2021.04.01,,1,Contributory Bürgerwissenschaften und naturräumliche Fragestellungen. Empfehlungen zur Umsetzung webbasierter Anwendung am Beispiel des citizenMorph Projektes
Hauthaler2021a,2021,Conference proceedings,0,0,0,0,EGU General Assembly 2021,1,https://doi.org/10.5194/egusphere-egu21-12149,,0,"Landslide dams acting as sediment traps: Example of the lake Hintersee, Berchtesgadener Land, south-eastern Germany"
argentin2021GeoMeet,2021,Conference proceedings,0,0,0,0,Mid-European Geomorphology Meeting 2021,0,,,0,The impact of landslide rheology on river damming and sediment trap formation.
Abad_Blog01,2021,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2021-03-05-geospatial-network-visualization/,"Abad (2021, March 5). Lore Abad: Geospatial Network Visualization. Retrieved from https://loreabad6.github.io/posts/2021-03-05-geospatial-network-visualization/",0,Geospatial Network Visualization
Abad_Blog02,2021,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2021-11-18-foss4grspatial/,"Abad (2021, Nov. 18). Lore Abad: FOSS4G: R-Spatial Panel. Retrieved from https://loreabad6.github.io/posts/2021-11-18-foss4grspatial/",0,FOSS4G: R-Spatial Panel
Abad_Blog03,2021,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2021-11-30-30daymapchallenge-rstats/,"Abad (2021, Nov. 30). Lore Abad: #30DayMapChallenge & #RStats. Retrieved from https://loreabad6.github.io/posts/2021-11-30-30daymapchallenge-rstats/",0,#30DayMapChallenge & #RStats
467e4448f4b441898b3849874eb18c60,2020,Conference proceedings,0,0,0,0,AGU Fall Meeting,1,https://ui.adsabs.harvard.edu/abs/2020AGUFMH011.0021D,,0,"Multi-temporal Mapping and Analysis of Ice-marginal Lakes using Sentinel-1: a Case Study from the Southern Margin of the Vatnajökull Ice Cap, Southeast Iceland"
inproceedings,2020,Conference proceedings,1,0,0,0,EGU General Assembly 2020,1,10.5194/egusphere-egu2020-572,,0,Mapping and monitoring of landslide-dammed lakes using Sentinel-2 time series - a case study after the 2016 Kaikōura Earthquake in New Zealand
Holbling2020,2020,Peer-reviewed paper,0,0,0,0,Applied Sciences,1,10.3390/app10020630,,25,Mapping and Analyzing the Evolution of the Butangbunasi Landslide Using Landsat Time Series with Respect to Heavy Rainfall Events during Typhoons
Argentin2020,2020,Conference proceedings,0,0,0,0,EGU General Assembly 2020,1,10.5194/egusphere-egu2020-8040,,0,"Landslide dam susceptibility in the Austrian Alps inferred from modelled landslides, potential valley damming and lake formation"
Hennig2019,2020,Conference proceedings,0,0,0,0,Proceedings of 5th Austrian Citizen Science Conference 2019 — PoS(ACSC2019),1,10.22323/1.366.0005,,1,Technological solutions for contributory citizen science: experiences from citizenMorph
Dabiri2020a,2020,Conference proceedings,0,0,0,0,GSA 2020 Connects Online,1,https://gsa.confex.com/gsa/2020AM/webprogram/Paper357105.html,,0,"Generation of Multi-temporal DEMs from Sentinel-1 for Assessing Geomorphological Changes in the Hítardalur Valley, Western Iceland"
Dabiri2020,2020,Peer-reviewed paper,0,0,0,0,Applied Sciences,1,10.3390/app10175848,,29,"Assessment of Landslide-Induced Geomorphological Changes in Hítardalur Valley, Iceland, Using Sentinel-1 and Sentinel-2 Data"
Hennig2020,2020,Peer-reviewed paper,0,0,0,0,InterCarto. InterGIS,1,10.35595/2414-9179-2020-1-26-116-126,,2,Geo citizen science and the role of participatory design in the field of geomorphology
Albrecht2020a,2020,Conference proceedings,0,0,0,0,EGU General Assembly 2020,1,10.5194/egusphere-egu2020-21325,,2,Assessing the impact of mass movements on alpine trails and huts using EO data
Emmer2020,2020,Peer-reviewed paper,0,0,0,0,Science of The Total Environment,1,10.1016/j.scitotenv.2020.139997,,18,"Distinct types of landslides in moraines associated with the post-LIA glacier thinning: Observations from the Kinzl Glacier, Huascarán, Peru"
Hennig2020a,2020,Peer-reviewed paper,0,0,0,0,GI_Forum,1,10.1553/giscience2020,,5,Implementing Geo Citizen Science Solutions: Experiences from the citizenMorph Project
inproceedings,2020,Conference proceedings,0,0,0,0,EGU General Assembly 2020,1,10.5194/egusphere-egu2020-13593,,0,Observation and Reporting of Landforms and Landscape Dynamics by Citizens
Albrecht2020b,2020,Conference proceedings,0,0,0,0,Disaster Research Days 2020,0,,,0,Mass movements documentation with EO data for assessing the impact on the alpine trails and huts infrastructure
Holbling2019,2019,Conference proceedings,0,0,0,0,27th IUGG General Assembly,0,,,2,"Mapping the Evolution of the Butangbunasi Landslide, Taiwan, using Landsat Time Series"
Emmer2019,2019,Conference proceedings,0,0,0,0,17th International Symposium on Geo-disaster Reduction,0,,,0,"Distinct mechanisms of landslides in moraines associated with the post-LIA glacier thinning: observations from the Kinzl glacier, Huascarán, Peru"
dabiri2019,2019,Peer-reviewed paper,0,0,0,0,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1,10.5194/isprs-archives-XLII-3-W8-103-2019,,5,An Object-Based Approach for Monitoring the Evolution of Landslide-dammed lakes and Detecting Triggering Landslides in Taiwan
Dabiri2019ISPRS,2019,Peer-reviewed paper,0,0,0,0,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1,10.5194/isprs-archives-XLII-3-W8-109-2019,,2,"Assessment of Landslide-Induced Morphology Changes using an Object-Based Image Analysis Approach: a Case Study of Hítardalur, Iceland"
Abad2020Thesis,2019,MSc thesis,1,1,0,0,Westfählische Wilhelms Universität Münster; Universidade Nova de Lisboa; Universitat Jaume I,1,https://run.unl.pt/handle/10362/67511?locale=en,,0,Validating a bike network analysis score based on open data as a connectivity measure of urban cycling infrastructure adapted for European cities
Mejia-Coronel2018,2018,Peer-reviewed paper,0,0,0,0,Revista de la Facultad de Ciencias Químicas,1,https://publicaciones.ucuenca.edu.ec/ojs/index.php/quimica/article/view/2215/1505,,12,Distribución Potencial del Género Polylepis en la Cuenca del Río Paute bajo un Escenario de Cambio Climático
Abad2018,2018,Peer-reviewed paper,1,0,0,0,Information,1,10.3390/info9110287,,15,Quantifying Bicycle Network Connectivity in Lisbon Using Open Data
Abad2018,2018,Peer-reviewed paper,1,0,0,0,MASKANA,1,10.18537/mskn.09.01.13,,4,"Análisis exploratorio de comportamientos de ciclistas voluntarios mediante minería de patrones espacio-temporales en Cuenca, Ecuador"
Abad2017,2017,Peer-reviewed paper,1,0,0,0,Memorias y Boletines de la Universidad del Azuay,1,10.33324/memorias.v1iXVI.85,,12,EJE 07-07 Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área urbana de la ciudad de Cuenca
Abad2017b,2017,Conference proceedings,1,0,0,0,V Congreso REDU,1,https://www.researchgate.net/publication/338455493_Exploring_space-time_patterns_of_volunteered_cycling_data_in_an_intermediate_city,,1,Exploring Space-Time Patterns of Volunteered Cycling Data in an Intermediate City
Abad2017Poster,2017,Conference proceedings,1,0,0,0,Congreso Anual de Meteorología y Calidad del Aire CAMCA 2017,0,,,0,Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área Urbana de la ciudad de Cuenca
Abad2017,2017,Peer-reviewed paper,1,0,0,0,Revista de la Facultad de Ciencias Químicas,1,https://publicaciones.ucuenca.edu.ec/ojs/index.php/quimica/article/view/1691,,4,Calidad del Agua y Variables Ambientales en Hábitats para Anfibios Amenazados en la Zona Urbana de Cuenca
abad2016estimacion,2016,BSc thesis,1,1,0,0,Universidad de Cuenca,1,http://dspace.ucuenca.edu.ec/handle/123456789/25484,,0,Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área urbana de la ciudad de Cuenca
